recordId,co2_Level,n2o_Level,ch4_Level,co2_Flow,co2_Output,n2o_Output,ch4_Output,factoryId,timestamp
4,1435.0,595.0,2.2,0.9,1527.84,23.56,1.41,4,2025-01-03 18:53:11
8,1454.0,625.0,2.0,0.9,1548.96,24.75,1.29,4,2025-01-03 19:53:11
12,1531.0,694.0,2.2,0.9,1630.06,27.48,1.42,4,2025-01-03 20:53:11
16,1432.0,795.0,2.1,0.9,1524.65,31.48,1.36,4,2025-01-03 21:53:11
20,1347.0,586.0,2.2,0.9,1434.15,23.21,1.42,4,2025-01-03 22:53:11
24,1574.0,541.0,1.9,0.9,1782.31,21.42,1.23,4,2025-01-03 23:53:11
28,1535.0,595.0,2.2,0.9,1634.31,23.56,1.42,4,2025-01-04 00:53:11
32,1550.0,580.0,2.13,0.9,1650.29,22.97,1.36,4,2025-01-04 01:53:11
36,1580.0,590.0,2.1,0.9,1682.23,23.36,1.36,4,2025-01-04 02:53:11
40,1541.0,595.0,2.1,0.9,1703.52,23.56,1.36,4,2025-01-04 03:53:11
44,1520.0,600.0,2.1,0.9,1724.81,23.76,1.36,4,2025-01-04 04:53:11
48,1550.0,612.0,2.1,0.9,1756.76,24.16,1.36,4,2025-01-04 05:53:11
52,1660.0,625.0,2.1,0.9,1767.98,24.47,1.36,4,2025-01-04 06:53:11
56,1670.0,627.0,2.1,1.0,1778.1,24.78,1.36,4,2025-01-04 07:53:11
60,1619.0,633.0,2.1,0.9,1788.22,25.08,1.36,4,2025-01-04 08:53:11
64,1578.0,635.0,2.1,0.9,1798.34,25.38,1.36,4,2025-01-04 09:53:11
68,1520.0,640.0,2.1,0.9,1808.47,25.68,1.36,4,2025-01-04 10:53:11
72,1610.0,645.0,2.1,0.9,1818.59,25.98,1.36,4,2025-01-04 11:53:11
76,1620.0,650.0,2.1,0.9,1828.71,26.28,1.36,4,2025-01-04 12:53:11
80,1530.0,655.0,2.1,0.9,1838.83,26.58,1.34,4,2025-01-04 13:53:11
84,1580.0,630.0,2.15,0.9,1779.93,24.67,1.36,4,2025-01-04 08:53:11
88,1590.0,640.0,2.15,0.9,1791.14,24.88,1.36,4,2025-01-04 09:53:11
92,1500.0,650.0,2.15,0.9,1802.35,25.09,1.36,4,2025-01-04 10:53:11
96,1519.0,660.0,2.15,0.9,1813.57,25.3,1.36,4,2025-01-04 11:53:11
100,1520.0,670.0,2.2,0.9,1824.78,25.51,1.36,4,2025-01-04 12:53:11
104,1532.0,680.0,2.2,0.9,1836.0,25.72,1.36,4,2025-01-04 13:53:11
108,1543.0,690.0,2.2,0.9,1847.21,25.93,1.36,4,2025-01-04 14:53:11
112,1550.0,700.0,2.2,0.9,1858.42,26.14,1.36,4,2025-01-04 15:53:11
116,1560.0,710.0,2.2,0.9,1869.63,26.35,1.36,4,2025-01-04 16:53:11
120,1578.0,720.0,2.2,0.9,1880.84,26.56,1.36,4,2025-01-04 17:53:11
124,1540.0,598.0,2.18,0.9,1530.0,23.6,1.48,4,2025-01-04 18:53:11
128,1542.0,600.0,2.18,0.9,1532.0,23.4,1.4,4,2025-01-04 19:53:11
132,1544.0,602.0,2.19,0.9,1534.0,23.2,1.4,4,2025-01-04 20:53:11
136,1546.0,604.0,2.19,0.9,1536.0,23.0,1.4,4,2025-01-04 21:53:11
140,1548.0,606.0,2.15,0.9,1538.0,22.8,1.46,4,2025-01-04 22:53:11
144,1550.0,608.0,2.22,0.9,1540.0,22.6,1.41,4,2025-01-04 23:53:11
148,1552.0,610.0,2.18,0.9,1542.0,22.4,1.41,4,2025-01-05 00:53:11
152,1554.0,612.0,2.18,0.9,1544.0,22.2,1.49,4,2025-01-05 01:53:11
156,1556.0,614.0,2.18,0.9,1546.0,22.0,1.4,4,2025-01-05 02:53:11
160,1558.0,616.0,2.18,0.9,1548.0,21.8,1.4,4,2025-01-05 03:53:11
164,1561.0,618.0,2.18,0.9,1550.0,21.6,1.47,4,2025-01-05 04:53:11
168,1567.0,634.0,2.18,0.9,1614.0,31.76,1.47,4,2025-01-05 05:53:01
