recordId,co2_Level,n2o_Level,ch4_Level,co2_Flow,co2_Output,n2o_Output,ch4_Output,factoryId,timestamp
2,1016.0,525.0,2.1,0.8,961.0,37.51,1.21,2,2025-01-03 18:53:23
6,1017.0,528.0,2.1,0.8,962.49,18.59,1.2,2,2025-01-03 19:53:23
10,1025.0,548.0,2.2,0.8,970.06,19.29,1.26,2,2025-01-03 20:53:23
14,1042.0,583.0,2.1,0.8,986.15,20.52,1.2,2,2025-01-03 21:53:23
18,1043.0,503.0,2.1,0.8,987.1,17.71,1.2,2,2025-01-03 22:53:23
22,1010.0,526.0,2.1,0.8,955.86,18.52,1.2,2,2025-01-03 23:53:23
26,1916.0,525.0,2.1,0.8,1813.3,18.48,1.2,2,2025-01-04 00:53:23
30,1025.0,524.0,2.1,0.8,970.06,18.44,1.2,2,2025-01-04 01:53:23
34,1040.0,523.0,2.15,0.8,984.26,18.41,1.23,2,2025-01-04 02:53:23
38,1055.0,520.0,2.15,0.8,988.45,18.3,1.23,2,2025-01-04 03:53:23
42,1065.0,510.0,2.15,0.8,1007.92,17.95,1.23,2,2025-01-04 04:53:23
46,1075.0,500.0,2.15,0.8,1017.38,17.6,1.23,2,2025-01-04 05:53:23
50,1085.0,490.0,2.15,0.8,1027.5,17.49,1.23,2,2025-01-04 06:53:23
54,1095.0,485.0,2.15,0.8,1037.63,17.39,1.23,2,2025-01-04 07:53:23
58,1105.0,480.0,2.15,0.8,1047.75,17.29,1.23,2,2025-01-04 08:53:23
62,1115.0,475.0,2.15,0.8,1057.88,17.19,1.23,2,2025-01-04 09:53:23
66,1125.0,470.0,2.15,0.8,1068.0,17.09,1.23,2,2025-01-04 10:53:23
70,1135.0,465.0,2.15,0.8,1078.13,16.99,1.23,2,2025-01-04 11:53:23
74,1145.0,460.0,2.15,0.8,1088.25,16.89,1.23,2,2025-01-04 12:53:23
78,1155.0,455.0,2.15,0.8,1098.38,16.79,1.23,2,2025-01-04 13:53:23
82,1100.0,460.0,2.2,0.8,1037.85,17.39,1.23,2,2025-01-04 08:53:23
86,1115.0,455.0,2.2,0.8,1048.26,17.29,1.23,2,2025-01-04 09:53:23
90,1130.0,470.0,2.25,0.8,1058.67,17.49,1.26,2,2025-01-04 10:53:23
94,1145.0,475.0,2.25,0.8,1069.08,17.59,1.26,2,2025-01-04 11:53:23
98,1160.0,480.0,2.3,0.8,1079.5,17.69,1.29,2,2025-01-04 12:53:23
102,1175.0,485.0,2.3,0.8,1090.31,17.79,1.29,2,2025-01-04 13:53:23
106,1190.0,490.0,2.3,0.8,1100.73,17.89,1.29,2,2025-01-04 14:53:23
110,1205.0,495.0,2.35,0.8,1111.14,17.99,1.29,2,2025-01-04 15:53:23
114,1220.0,500.0,2.35,0.8,1121.56,18.09,1.29,2,2025-01-04 16:53:23
118,1235.0,505.0,2.35,0.8,1132.97,18.19,1.29,2,2025-01-04 17:53:23
