recordId,co2_Level,n2o_Level,ch4_Level,co2_Flow,co2_Output,n2o_Output,ch4_Output,factoryId,timestamp
1,363.0,331.0,1.8,0.8,343.54,26.21,1.03,1,2025-01-03 18:53:01
5,367.0,341.0,1.9,1.0,434.16,15.01,1.36,1,2025-01-03 19:53:01
9,392.0,335.0,1.9,0.8,370.99,11.79,1.09,1,2025-01-03 20:53:01
13,412.0,339.0,1.8,0.8,389.92,11.93,1.03,1,2025-01-03 21:53:01
17,432.0,333.0,1.8,0.8,408.84,11.72,1.03,1,2025-01-03 22:53:01
21,354.0,336.0,1.9,0.8,335.03,11.83,1.09,1,2025-01-03 23:53:01
25,732.0,331.0,1.8,0.8,692.76,11.56,1.03,1,2025-01-04 00:53:01
29,448.0,332.0,1.85,0.8,423.99,11.69,1.06,1,2025-01-04 01:53:01
33,455.0,340.0,1.85,0.8,430.61,11.97,1.06,1,2025-01-04 02:53:01
37,463.0,342.0,1.85,0.8,438.18,12.04,1.06,1,2025-01-04 03:53:01
41,470.0,345.0,1.85,0.8,444.81,12.14,1.06,1,2025-01-04 04:53:01
45,480.0,350.0,1.85,0.8,454.27,12.32,1.06,1,2025-01-04 05:53:01
49,493.0,355.0,1.85,0.8,463.72,12.42,1.06,1,2025-01-04 06:53:01
53,498.0,360.0,1.85,0.8,473.58,12.51,1.06,1,2025-01-04 07:53:01
57,503.0,365.0,1.85,0.8,483.45,12.6,1.06,1,2025-01-04 08:53:01
61,508.0,370.0,1.85,0.8,493.32,12.69,1.06,1,2025-01-04 09:53:01
65,513.0,375.0,1.85,0.8,503.19,12.78,1.06,1,2025-01-04 10:53:01
69,518.0,380.0,1.85,0.8,513.06,12.87,1.06,1,2025-01-04 11:53:01
73,423.0,385.0,1.85,0.8,522.93,12.96,1.06,1,2025-01-04 12:53:01
77,428.0,390.0,1.85,0.8,532.8,13.05,1.06,1,2025-01-04 13:53:01
81,520.0,345.0,1.85,0.8,499.8,12.91,1.06,1,2025-01-04 08:53:01
85,530.0,350.0,1.85,0.8,509.94,13.04,1.06,1,2025-01-04 09:53:01
89,540.0,355.0,1.9,0.8,520.08,13.19,1.09,1,2025-01-04 10:53:01
93,437.0,360.0,1.9,0.8,530.22,13.34,1.09,1,2025-01-04 11:53:01
97,560.0,365.0,1.9,0.8,540.36,13.49,1.09,1,2025-01-04 12:53:01
101,570.0,370.0,1.9,0.8,550.5,13.64,1.09,1,2025-01-04 13:53:01
105,545.0,375.0,1.9,0.8,560.64,13.79,1.09,1,2025-01-04 14:53:01
109,510.0,380.0,1.9,0.8,570.78,13.94,1.09,1,2025-01-04 15:53:01
113,420.0,385.0,1.9,0.8,580.92,14.09,1.09,1,2025-01-04 16:53:01
117,469.0,390.0,1.9,0.8,591.06,14.24,1.09,1,2025-01-04 17:53:01
